name,state,district,beds,coords,emergency,ambulance,lat,lon
Chakraborty Multi Speciality Hospital,Andaman and Nicobar Islands,South Andaman,118.0,"11.6357989, 92.7120575",False,False,11.6357989,92.7120575
Inhs Dhanvantri,Andaman and Nicobar Islands,South Andaman,108.0,"11.8311681, 92.6586401",False,False,11.8311681,92.6586401
Pillar Health Centre,Andaman and Nicobar Islands,South Andaman,87.0,"11.6498468, 92.7294624",False,False,11.6498468,92.7294624
"G B Pant Hospital, Port Blair",Andaman and Nicobar Islands,South Andaman,100.0,"11.6233774, 92.7264828",False,False,11.6233774,92.7264828
"Care Hospital, Banjara",Andhra Pradesh,Hyderabad,118.0,"17.4274003, 78.4311174",False,False,17.4274003,78.4311174
Aasha Hospitals,Andhra Pradesh,Anantapur,98.0,"14.6795736, 77.592469",False,False,14.6795736,77.592469
Baby Hospital,Andhra Pradesh,Anantapur,90.0,"14.6818877, 77.6005911",False,False,14.6818877,77.6005911
Dr Akbar Eye Hospital And Laser Centre,Andhra Pradesh,Anantapur,90.0,"14.6723351, 77.6018211",False,False,14.6723351,77.6018211
Hrudaya Children Hospital,Andhra Pradesh,Anantapur,115.0,"14.6749908, 77.6032432",False,False,14.6749908,77.6032432
"Jeevana Jyothi Hospitals Ltd.,",Andhra Pradesh,Anantapur,119.0,"17.4738037, 78.5641765",False,False,17.4738037,78.5641765
Mythri Hospitals,Andhra Pradesh,Anantapur,81.0,"14.6867872, 77.5832307",False,False,14.6867872,77.5832307
Padmavathi Hospital,Andhra Pradesh,Anantapur,103.0,"15.3474564, 75.1253824",False,False,15.3474564,75.1253824
Pavani Multi Speciality Hospital,Andhra Pradesh,Anantapur,109.0,"14.6742267, 77.6025251",False,False,14.6742267,77.6025251
Ravitej Nursing Home,Andhra Pradesh,Anantapur,100.0,"14.6805847, 77.6000775",False,False,14.6805847,77.6000775
Santhi Nursing Home,Andhra Pradesh,Anantapur,112.0,"13.9860276, 77.7658783",False,False,13.9860276,77.7658783
Sri Sai Kurpa Nursing Home,Andhra Pradesh,Anantapur,104.0,"13.6340453, 79.4157431",False,False,13.6340453,79.4157431
Sudhir Surgical Clinic,Andhra Pradesh,Anantapur,107.0,"14.9093514, 78.0060388",False,False,14.9093514,78.0060388
Suma Eye Clinic,Andhra Pradesh,Anantapur,95.0,"14.6755437, 77.6036802",False,False,14.6755437,77.6036802
Varun Children's Hospital,Andhra Pradesh,Anantapur,116.0,"19.0627033, 72.9297396",False,False,19.0627033,72.9297396
Vijaya Nursing Home,Andhra Pradesh,Anantapur,100.0,"14.6607456, 77.6085681",False,False,14.6607456,77.6085681
Mamatha Nursing Home,Andhra Pradesh,Anantapur,118.0,"13.0433764, 80.1622367",False,False,13.0433764,80.1622367
Anantapuram Praja Vaidyasala,Andhra Pradesh,Anantapur,97.0,"14.6735546, 77.6081894",False,False,14.6735546,77.6081894
Girish Multispeciality Hospital,Andhra Pradesh,Anantapur,93.0,"14.178135, 77.2728241",False,False,14.178135,77.2728241
Shilpa Hospital,Andhra Pradesh,Anantapur,88.0,"13.8358978, 77.5046101",False,False,13.8358978,77.5046101
Sreenivasa Nursing Home,Andhra Pradesh,Anantapur,105.0,"13.8185378, 77.4988753",False,False,13.8185378,77.4988753
Teja Nursing Home,Andhra Pradesh,Anantapur,81.0,"13.8371751, 77.4878898",False,False,13.8371751,77.4878898
Sharada Nursing Home and Falvia P Reddy Diagnostic,Andhra Pradesh,Anantapur,99.0,"14.910003, 78.0005407",False,False,14.910003,78.0005407
Sri Kanchani Hospital,Andhra Pradesh,Anantapur,107.0,"14.9070274, 78.0092703",False,False,14.9070274,78.0092703
Devi Nursing Home,Andhra Pradesh,Anantapur,114.0,"14.4137447, 77.7126189",False,False,14.4137447,77.7126189
Spandana Hospital,Andhra Pradesh,Anantapur,93.0,"14.4068919, 77.7125679",False,False,14.4068919,77.7125679
Preethi Nursing Home,Andhra Pradesh,Anantapur,96.0,"15.1622611, 77.3826845",False,False,15.1622611,77.3826845
Dr. Ramalakshmi Nursing Home,Andhra Pradesh,Chittoor,83.0,"13.217176, 79.1003289",False,False,13.217176,79.1003289
Lakshmi Hospital,Andhra Pradesh,Chittoor,85.0,"28.6481837, 77.3709431",False,False,28.6481837,77.3709431
Sujatha Nursing Home,Andhra Pradesh,Chittoor,105.0,"13.65, 78.933333",False,False,13.65,78.933333
Balaji Hospital,Andhra Pradesh,Chittoor,89.0,"13.36592, 78.5750141",False,False,13.36592,78.5750141
Balaji Multi Speciality Hospital,Andhra Pradesh,Chittoor,93.0,"13.5508703, 78.50597",False,False,13.5508703,78.50597
Bhavya Child Care Center,Andhra Pradesh,Chittoor,110.0,"13.5603491, 78.5036065",False,False,13.5603491,78.5036065
Desai Hospital-Madanapalli,Andhra Pradesh,Chittoor,102.0,"14.4656511, 78.8330438",False,False,14.4656511,78.8330438
Emergency Hospital,Andhra Pradesh,Chittoor,119.0,"18.4328566, 79.1303578",False,False,18.4328566,79.1303578
Kathasagaram Hospitals,Andhra Pradesh,Chittoor,95.0,"13.5529488, 78.5086376",False,False,13.5529488,78.5086376
M.V.L Hospital,Andhra Pradesh,Chittoor,103.0,"13.5657237, 78.5066868",False,False,13.5657237,78.5066868
Madanapalle Hospital Pvt Ltd,Andhra Pradesh,Chittoor,105.0,"13.553374, 78.5065719",False,False,13.553374,78.5065719
Popular Nursing Home,Andhra Pradesh,Chittoor,104.0,"30.3145962, 78.0357476",False,False,30.3145962,78.0357476
P E S Institute Of Medical Sciences and Research,Andhra Pradesh,Chittoor,87.0,"12.7279579, 78.3512397",False,False,12.7279579,78.3512397
Rathna Childrens and General Hospital,Andhra Pradesh,Chittoor,103.0,"12.7510218, 78.340196",False,False,12.7510218,78.340196
Sri Priya Nursing Home,Andhra Pradesh,Chittoor,90.0,"12.7470314, 78.3330157",False,False,12.7470314,78.3330157
Apollo Multispeciality Hospital,Andhra Pradesh,Chittoor,96.0,"13.6403071, 79.4176391",False,False,13.6403071,79.4176391
Asalatha Medicare Pvt Lt,Andhra Pradesh,Chittoor,114.0,"13.6320156, 79.4260025",False,False,13.6320156,79.4260025
Balaji Orthopaedic And Trauma Hospital,Andhra Pradesh,Chittoor,112.0,"13.6344095, 79.425573",False,False,13.6344095,79.425573
Bhaskar Allergy and Chest Hospital,Andhra Pradesh,Chittoor,84.0,"13.6338436, 79.4210045",False,False,13.6338436,79.4210045
Clinic Nisha,Andhra Pradesh,Chittoor,118.0,"13.6338782, 79.4195997",False,False,13.6338782,79.4195997
Dbr And Sk Super Speciality Hospital,Andhra Pradesh,Chittoor,107.0,"13.6244611, 79.4310052",False,False,13.6244611,79.4310052
Eye Care Centre and Contact Lens Clinic,Andhra Pradesh,Chittoor,86.0,"13.6287557, 79.4191795",False,False,13.6287557,79.4191795
Harshitha Hospital,Andhra Pradesh,Chittoor,87.0,"13.6361446, 79.4204532",False,False,13.6361446,79.4204532
M S Hospital,Andhra Pradesh,Chittoor,113.0,"13.6781837, 79.352188",False,False,13.6781837,79.352188
Manohari Nursing Home,Andhra Pradesh,Chittoor,103.0,"13.6302513, 79.4118237",False,False,13.6302513,79.4118237
Neelima Maternity Nursing Home,Andhra Pradesh,Chittoor,101.0,"13.6390013, 79.4272041",False,False,13.6390013,79.4272041
Ramya Hospital,Andhra Pradesh,Chittoor,84.0,"13.6365271, 79.4127143",False,False,13.6365271,79.4127143
Shyamala Nursing Home,Andhra Pradesh,Chittoor,118.0,"13.6368739, 79.4144319",False,False,13.6368739,79.4144319
Sree Emergency and Crticial Care Hospital,Andhra Pradesh,Chittoor,106.0,"13.6157076, 79.4125828",False,False,13.6157076,79.4125828
Sri Padmavathi Multi Speciality Hospital,Andhra Pradesh,Chittoor,94.0,"23.0866456, 72.5630236",False,False,23.0866456,72.5630236
Sri Ramadevi Multi Super Speciality Hospital,Andhra Pradesh,Chittoor,94.0,"13.6388217, 79.4204627",False,False,13.6388217,79.4204627
